"","CNT","CNTSTUID","CNTSCHID","ST004D01T","ST001D01T","DISCLIM","ANXMAT","ICTRES","ESCS","PV1MATH","ST259Q01JA","ICTSCH","ICTHOME","ICTQUAL","W_FSTUWT","SCHSEL","SCHLTYPE","W_SCHGRNRABWT"
"16371","CAN",12427723,12400563,2,10,-0.1219,-0.3744,-0.8237,-1.4487,424.744,NA,NA,NA,NA,9.56931,1,3,6.06312
"16372","CAN",12427728,12400157,2,10,0.0968,0.3025,0.7575,1.1984,487.197,NA,NA,NA,NA,1.90906,2,3,1.02029
"16373","CAN",12427733,12400096,1,10,0.3521,-0.1172,0.9517,-0.2023,479.796,NA,NA,NA,NA,2.67024,3,3,1.05289
"16374","CAN",12427735,12400891,1,9,-0.005,NA,-1.0042,-0.2656,383.425,NA,NA,NA,NA,32.24688,NA,3,2.35846
"16375","CAN",12427738,12400629,2,10,-0.3191,2.5429,0.0019,-0.2352,454.887,NA,NA,NA,NA,8.62289,3,3,1.01209
"16376","CAN",12427740,12400066,1,10,-0.1499,-0.1172,1.2456,0.8493,506.239,NA,NA,NA,NA,4.26575,2,3,1.26327
"16377","CAN",12427741,12400238,2,10,-1.0311,0.8918,-0.2501,-0.1281,430.41,NA,NA,NA,NA,2.49528,2,3,1
"16378","CAN",12427742,12400238,1,10,-0.6698,2.635,1.2711,0.7699,542.63,NA,NA,NA,NA,3.83553,2,3,1
"16379","CAN",12427745,12400203,1,10,0.7487,0.1031,0.6013,0.4116,540.263,NA,NA,NA,NA,7.04214,2,3,1.01209
"16380","CAN",12427747,12400060,1,10,0.4477,-0.1371,0.8696,0.848,598.729,NA,NA,NA,NA,17.39443,3,3,2.64451
"16381","CAN",12427748,12400919,1,10,0.6947,-0.5191,1.5524,-0.179,512.203,NA,NA,NA,NA,3.50994,1,3,1
"16382","CAN",12427749,12400464,1,10,1.775,0.6566,-1.1927,-0.1576,470.411,NA,NA,NA,NA,3.09177,1,3,1.02029
"16383","CAN",12427750,12400384,1,10,-0.3191,0.7774,0.9868,-0.9451,457.995,NA,NA,NA,NA,1.54741,3,3,1.02946
"16384","CAN",12427751,12400010,1,10,-0.5502,0.5653,-0.5982,0.0198,360.711,NA,NA,NA,NA,6.50712,1,3,1
"16385","CAN",12427754,12400339,2,10,NA,NA,0.8873,0.5457,400.61,NA,NA,NA,NA,1.35693,1,3,1.01499
"16386","CAN",12427759,12400223,1,10,-0.0787,2.6109,1.0905,1.6608,557.182,NA,NA,NA,NA,30.34449,2,3,22.08423
"16387","CAN",12427763,12400674,2,10,-2.3859,NA,-1.5269,-0.5571,520.661,NA,NA,NA,NA,2.47669,1,3,1.5
"16388","CAN",12427766,12400334,2,10,1.7914,-2.3945,2.3401,1.4029,488.541,NA,NA,NA,NA,1.73636,1,3,1.01499
"16389","CAN",12427767,12400290,1,10,0.757,-0.3744,0.6832,1.1435,566.945,NA,NA,NA,NA,4.25281,3,3,3.74247
"16390","CAN",12427768,12400701,2,10,-0.1499,-0.1172,-0.1923,0.3482,499.952,NA,NA,NA,NA,1.96678,1,3,1.5
"16391","CAN",12427769,12400025,1,10,0.7097,0.051,-0.6526,0.3141,488.814,NA,NA,NA,NA,29.41046,1,3,1.45358
"16392","CAN",12427772,12400148,1,10,-0.4914,0.7774,-1.9746,-1.4873,307.042,NA,NA,NA,NA,2.6155,2,3,1.95951
"16393","CAN",12427774,12400829,2,9,NA,NA,NA,NA,422.458,NA,NA,NA,NA,33.52643,1,3,15.19595
"16394","CAN",12427775,12400293,1,10,0.7631,0.4252,1.1133,1.0834,505.395,NA,NA,NA,NA,7.29192,2,3,1.02029
"16395","CAN",12427776,12400453,1,10,-0.4961,-0.508,0.5559,-0.5538,572.964,NA,NA,NA,NA,1.76427,1,3,1.11972
"16396","CAN",12427777,12400522,1,10,0.4522,-0.2045,-0.9492,-1.3509,497.029,NA,NA,NA,NA,56.79381,1,3,2.2318
"16397","CAN",12427778,12400285,1,10,-0.1273,0.8251,0.5396,0.8203,530.81,NA,NA,NA,NA,23.73494,3,3,2.14037
"16398","CAN",12427780,12400801,2,10,-0.2863,0.8757,0.328,0.9258,501.864,NA,NA,NA,NA,33.30895,1,3,9.39486
"16399","CAN",12427781,12400655,2,10,0.488,0.7774,0.4507,0.7297,302.742,NA,NA,NA,NA,4.12982,1,3,1.08377
"16400","CAN",12427782,12400533,1,10,1.6289,0.6566,1.9247,1.3571,416.456,NA,NA,NA,NA,20.27415,2,3,1.8443
"16401","CAN",12427783,12400471,2,10,0.4277,-0.8811,0.6255,0.8793,564.717,NA,NA,NA,NA,31.25153,1,3,3.35063
"16402","CAN",12427784,12400568,1,10,-0.8516,-0.2045,0.8172,-0.3716,499.433,NA,NA,NA,NA,32.5532,2,3,7.62672
"16403","CAN",12427785,12400653,2,10,-2.4425,1.4533,-0.6377,0.8659,606.804,NA,NA,NA,NA,17.47606,3,2,5.21
"16404","CAN",12427786,12400894,2,10,-0.0522,0.6647,-0.6613,0.9133,431.716,NA,NA,NA,NA,4.62305,3,3,3.74247
"16405","CAN",12427789,12400100,1,10,NA,NA,1.6719,1.5499,464.271,NA,NA,NA,NA,1.41117,2,3,1
