"","STU_ID","SCH_ID","BYSTUWT","STRAT_ID","PSU","G10COHRT","BYGRDRPT","BYMATHSE","BYSES1","BYRACE","BYSEX","BYTXCSTD","BYRISKFC","BYSTEXP","BYINCOME"
"61",102118,-5,16.2886,102,1,1,0,0.791,-0.3,4,1,37.51,1,5,10
"62",102120,-5,232.1475,102,1,1,0,-0.841,0.55,3,2,37.12,1,5,10
"63",102121,-5,239.9451,102,1,1,0,-0.869,-0.02,3,1,34.44,3,5,6
"64",102122,-5,232.1475,102,1,1,0,-0.381,0.01,3,2,38.62,2,6,8
"65",102162,-5,0,102,1,0,0,-8,-8,-8,-8,-8,-8,-8,9
"66",102163,-5,0,102,1,0,0,-8,-8,-8,-8,-8,-8,-8,4
"67",102164,-5,0,102,1,0,1,-8,-8,-8,-8,-8,-8,-8,12
"68",102201,-5,791.2892,102,2,1,0,-9,-1.14,3,1,48.51,1,6,8
"69",102202,-5,729.7214,102,2,1,98,-9,0.51,3,2,27.13,-9,7,8
"70",102203,-5,27.5372,102,2,1,0,-0.869,-0.65,2,2,47.22,1,6,10
"71",102204,-5,27.5372,102,2,1,0,1.296,0.53,2,2,66.11,0,7,9
"72",102205,-5,791.2892,102,2,1,98,-9,0.09,3,1,46.86,-9,7,10
"73",102206,-5,791.2892,102,2,1,0,-9,-0.76,3,1,35.08,-9,5,9
"74",102207,-5,218.2127,102,2,1,0,-9,-1.2,4,1,44.54,-9,2,6
"75",102208,-5,29.4139,102,2,1,0,1.772,0.61,2,1,58.09,0,7,11
"76",102209,-5,29.4139,102,2,1,98,0.333,0.09,6,1,53.96,-9,5,10
"77",102210,-5,218.2127,102,2,1,0,-9,-0.99,4,1,24.73,1,2,8
"78",102211,-5,729.7214,102,2,1,98,-9,0.6,3,2,39.97,-9,-1,10
"79",102212,-5,729.7214,102,2,1,0,-0.42,0.79,3,2,33.79,2,7,9
"80",102213,-5,218.2127,102,2,1,98,-9,0.44,4,1,52.51,-4,5,12
"81",102214,-5,218.2127,102,2,1,0,0.358,-0.92,4,1,44.2,2,3,6
"82",102215,-5,816.501,102,2,1,0,0.781,0.92,7,1,65.32,0,6,12
"83",102216,-5,27.5372,102,2,1,98,-0.869,0.23,2,2,55.27,-4,5,9
"84",102217,-5,27.5372,102,2,1,0,-1.831,0.55,2,2,45.44,0,-1,11
"85",102218,-5,29.4139,102,2,1,98,0.571,1.41,2,1,37.1,-9,5,10
"86",102219,-5,29.4139,102,2,1,1,1.772,-0.91,2,1,60.64,5,5,6
"87",102220,-5,218.2127,102,2,1,0,-9,-1.17,4,1,30.63,1,6,3
"88",102221,-5,29.4139,102,2,1,1,0.571,-0.14,2,1,47.87,2,5,6
"89",102222,-5,729.7214,102,2,1,0,1.772,-0.05,3,2,36.28,-9,7,10
"90",102223,-5,204.8679,102,2,1,0,0.571,1.06,2,2,53.83,0,6,12
"91",102224,-5,29.4139,102,2,1,98,0.571,0.55,2,1,50,-4,6,10
"92",102226,-5,29.4139,102,2,1,98,0.571,-0.78,2,1,49.66,-4,5,9
"93",102227,-5,791.2892,102,2,1,1,1.322,0.33,3,1,29.55,2,5,9
"94",102228,-5,204.8679,102,2,1,0,0.873,-0.38,4,2,39.64,0,5,10
"95",102232,-5,27.5372,102,2,1,0,0.36,0.15,2,2,52.56,-9,5,11
"96",102233,-5,27.5372,102,2,1,98,-0.42,-0.91,2,2,45.09,-4,7,9
"97",102234,-5,204.8679,102,2,1,0,-9,-0.65,4,2,39.14,1,7,7
"98",102235,-5,29.4139,102,2,1,0,0.597,-0.3,2,1,60.64,0,5,9
"99",102261,-5,0,102,2,0,0,-8,-8,-8,-8,-8,-8,-8,11
"100",103101,-5,555.7111,103,1,1,0,0.82,0.98,7,2,64.53,0,5,11
