STU_ID,BIPOC,FEMALE,X1TXMTSCOR,X1SES,X1MTHID,X1MTHUTI,X1MTHEFF
10476,1,0,44.8689,-.5354,.6,-.3,.1
10481,1,1,53.9968,.7785,.6,.27,.55
10490,1,1,37.0668,-1.1796,-.57,-.3,-.73
10491,1,1,49.3065,-1.1487,0, , 
10493,0,1,42.5544,-.3554,-.57, , 
10495,0,0,27.5923,-.8226, , , 
10500,0,1,24.6495,.6763,-.57, , 
10505,1,0,50.1894,.3902, ,.27,1.62
10507,1,0,39.3988,.5765,-1.13,1.31,-.97
10508, ,1, , , , , 
10509,0,1,26.6466,-.8952,-1.13,-1.1,-1.41
10510,0,1,49.4871,.5008,.6,.9,1.62
10513,1,1,45.7931,-.7751,.6,1.31,-.56
10518,0,0,56.5386,-.5858,0,.27,-.17
10519,0,0,45.7167,1.1228,.6, , 
10522, ,1, , , , , 
10532,0,1,48.418,-.8455,-.57, , 
10537,1,0,42.0645,-.2289,-1.73,-.36,-.44
10545,0,0,38.9965,-.0471,-1.73,-.87,-.58
10547,0,1,65.5545,-.2783,-.57,1.31,-.17
10549,1,1,39.3102,-.7077,-1.73, , 
10551,1,0,53.6403,.3765,1.76,.74,1.62
10554,1,1,56.7184,-1.1012,.6,-.3,-.17
10555, ,1, , , , , 
10560,0,0,59.7994,.4189,-.57,-.7,-.56
10568,0,0, , , , , 
10571,0,1,45.3828,.1734,.6,.27,.9
10572,0,1,59.6741,.0137,1.16,.27,1.62
10577, ,1, , , , , 
10578,0,1,45.3979,-1.2098,-.57, , 
10588,1,0,54.2941,.8024,1.76,.27,1.34
10589,0,1,56.8003,.2801,1.19,-1.9,.1
10597,1,0,51.6339,-1.183,1.19,.9,1.34
10598,0,0,68.9579,.1778,1.76,.9,1.21
10604,0,0,65.8971,.6225,1.76,1.31,1.62
10605,0,0,51.0573,-.2602,-1.16,-.7,-.17
10606,1,0,38.5902,-1.0251,-.57,.27,.1
10607,0,1,59.3995,-.1277,.6,-.3,.1
10610,1,0,48.2831,-1.245,.03, , 
10621,0,1,43.0353,.9587,-1.16, , 
10626,1,0,63.2938,-.5813,.6,-1.4,-.17
10629,1,1,60.2255,-.5771,-.53,.67,-1.82
10633,1,0,41.4801,.8692,-1.13,1.31,-.58
10639,1,0,34.2007,.1245,-1.13,-1.17,-.56
10644,1,1,37.2518,.0374,-.57,-.3,.1
10647,0,1,64.7951,-.0996,1.76,-1.33,-2.92
10650,0,1,48.1363,.7132,-.57,-.93,-.58
10657,1,0,41.5779,-.9176,-.57,.67,.1
10662,0,0,49.3142,1.3306,-.57,-.3,.1
10665,0,1,43.2111,.621,-.57,-.7,-.3
10669,1,0,39.9313,1.1166,0,-.13,.51
10675,0,1,40.7497,-.3551,.6,-.3,.1
10677,0,0,50.3951,.5316,-1.13,-1.74,-1.68
10680,1,0,50.326,.3952,-.57,-.7,.1
10687,0,0,57.8184,.756,.03,-.3,.82
10689,0,1,54.5261,-.8455,.6, , 
10690,0,1,57.5938,.8375,-1.73,.27, 
10699,1,1,33.5977,-1.1215,-1.16,.27,-.58
10700,1,1,63.0841,1.0828,0,-.7,.95
10701,1,1,39.9234,.8583,.6,-.76,.1
10704,0,0,52.1738,.1241,1.76,-.76,-.29
10711,1,0,48.1431,.3341,0,-.3,.1
10714,0,0,48.471,.1612,.03,-.3,1.62
10722,0,1,49.438,-.2079,.03,-.3,-.61
10724,1,1,54.4015,.308,-.57,.67,-.3
10727,1,0,58.5976,.4352,.6,1.31,.9
10733,0,1,54.1823,-.4549,1.16, , 
10738,0,1,60.0664,.2391,-.57,-.13,-.56
10740,0,1,40.3814,-.3641,-.57,.9,-.58
10742,0,1,53.8705,-.6333,1.16, , 
10743,0,0,49.6166,-.2075,1.76,1.31,1.62
10746,1,1,48.253,-.4959,1.76,-3.51,-2.92
10747,0,0,45.4674,-.5789,-.57,1.31,.16
10751,0,0,60.7125,1.2149,.6,-.07,1.34
10756,0,1,61.8085,.4308,.6,-.13,1.34
10761,0,1,54.744,1.0326,0,1.31,1.62
10764,1,1,58.4062,-.1908,.6,-.3,-.58
10774, ,1, , , , , 
10776,1,0,46.6643,-.101, ,-.3,.49
10780,0,1,51.3831,.5529,-1.73,.9,.1
10794,0,0,51.2383,-.4046,.6,1.31,1.62
10796,1,1,68.244,1.1654,.6,-.7,1.34
10797,1,0,26.0579,-.7409,0, , 
10803,1,0,44.195,-.0663,-1.73,-3.51,-1.41
10808,0,1,62.1621,.6618,.6,.27,-.17
10810,0,0,49.4911,.5987,.6,-.3,.1
10813,1,0,51.9906,.1406,-.57, , 
10819,0,0,58.0802,.0397,-1.13,.27,.1
10821,0,1,67.3933,2.5668,0,.27,.1
10822,0,0,49.9332,-.193,.6,1.31,1.62
10825,0,1,48.8438,-.3042,0,-1.33,.1
10826,1,1,53.4824,1.48,.6,-.3,.1
10830,1,0,48.8957,-.5385,-.57,1.31,1.23
10832,0,0,48.4731,-.071,-.57,1.31,-.97
10835, ,0, , , , , 
10836,0,1,52.0223,.8485,.6,-.3,.68
10842,0,1,43.4432,-.1838,-1.73,-.7,-2.09
10850,0,0,42.4447,.1548,1.76,1.31,.1
10853,1,0,68.6284,1.2816,.6,-.3,.1
10871,0,0,30.0599,-.8455,0, , 
10878,0,1,41.8973,-.0996,-1.16,-.3,-1.14
10879,0,0,34.9141,-.0903,-.53,1.31,-1.41
10881,1,0,48.0992,2.5668,-1.16,-1.33,.78
10882,1,1,48.7967,-1.0449,1.76,.34,1.21
10885,0,1,40.7766,-1.1758,.6,-.3,-1.41
10887,0,1,63.2752,-.0847,1.76,.5,.22
10891,1,0,45.0909,-1.0556,-1.73,-.36,-2.92
10892,0,1,49.0337,-.4438,0,-.13,.1
10894,1,1,52.1142,.8026,-.57,-.7,.1
10897,1,0,63.9123,.0745,.6,-.3,.1
10899,0,0,47.7791,1.0829,-1.16,-1.33,-1.82
10900,0,1,51.8744,.9004,1.76,.9,1.62
10902,0,1,52.1987,.1339,-.57,-.93,-.58
10903,0,1,50.549,-.6954,-1.73,-2.94,-2.92
10910,0,0,63.8692,1.7061,-.57,-.13,-.17
10919,0,0, , , , , 
10921,1,0,56.979,-.1239,1.76,1.31,1.34
10927,1,0,57.6389,-.0522,0,.34,-.17
10928,0,0,51.1503,-.0262,1.16,1.31,.1
10930,1,0,49.3005,.3227,.6,.34,.55
10931,1,0,53.5187,-.9438,.6,.9,.1
10935,1,0,51.3395,-1.0283,0,.27,-.39
10937,0,1,36.2786,-.3394,-1.13, , 
10941,1,0,48.5297,-.3667,.6,-.3,.1
10942,1,0,46.8887,-.7751,-1.16,1.31,.38
10951,0,1,52.8403,1.1115,-.57,-1.33,-.17
10952,0,1,61.5904,1.1049,.03,-.7,.27
10953,1,1,44.9881,-.4377,-1.73, , 
10954,0,0,54.8727,.1463,.6,-.3,.1
10958,0,0,42.3414,.424,0,.9,-.17
10959,1,1,47.5427,1.8857,.03,.27,.94
10961,1,1,47.4158,-.9756,-.57,1.31,-.29
10962,0,0,52.4733,-.7426,.6,.27,1.62
10969,1,1,52.7507,-.1126,-.53,-1.56,.1
10971,0,0,52.6237,.2416,.6,-.7,.51
10974,1,1,25.6894,-1.3048,-1.13,-.3,-1.58
10976,1,0,35.5555,-1.3419,0,1.31,.1
10977,0,0,55.1145,-.0098,-.57,-.76,-1.41
10978,0,1, , , , , 
10985,1,1,52.3428,-.3841,.6,1.31,.1
10986,1,0,53.1904,.4073,-1.73,-1.33,-2.51
10993,1,0,51.6494,-.6394,.6,.11,.1
10996,0,0,55.1447,.1295,.6,-.7,.1
10997,0,1,52.8762,2.0492,0,-.3,-.17
10998,1,1,51.1024,-.4434,1.19,-1.16,.94
10999,0,0,49.0882,-.4813,.6,-.3,-.17
11002,0,1,56.4937,.1845,1.19,-.3,.95
11005,0,1,40.1771,-1.429,-1.13,.27,-1.41
11006,1,0,44.4515,-.7463,0,1.31,.1
11007,0,1,51.0569,.3009,-1.16,-.07,-1.24
11012,1,1,43.1274,-.6665,1.16,-.3,-.01
11026,0,1,31.6121,-1.2142,.06,1.31,-2.92
11039,0,0,60.08,-.8981,-1.73,1.31,-.97
11040,1,1,43.3322,-1.222,-1.13,-.23,-1.41
11041,1,1,53.1822,-.5673,.6,1.31,1.34
11043,0,0,58.7899,.835,-.53,-.3,.1
11045,1,1,36.9983,-.3268,-1.73,.04,-1.73
11046,1,1, , , , , 
11047,0,0,58.9577,.4402,-.57,-.13,.1
11057,0,1,59.8532,.1714,.6, , 
11058,1,1,57.5753,-.128,1.16,-.87,1.23
11061,0,0,51.191,.8603,-1.13,.34,-.17
11062,0,1,61.0038,-.0832,-1.13,.5,-1
11063,1,1,77.5771,.6846,1.16,-.7,1.62
11078,0,0,60.2738,-1.0351,1.76,1.31,1.62
11079,1,0,65.1761,.557,1.16,-.36,-.17
11080,1,1,31.3218,.9743,-1.73,.1,-1.82
11081,0,0,50.8448,-.3327,0,.27,-1
11083,1,1,56.678,-.874,1.16,1.31,.95
11086,0,0,54.5744,-.3067,-1.73,-.7,-.17
11089,0,1,48.8261,-1.0486,1.16,-.3,.94
11092,1,0,43.1804,.041,-1.73,.1,-2.92
11093,0,0,50.5545,-.2655,.6,-.53,.1
11102,0,0, , , , , 
11104,0,0,59.1463,.21,.6,.27,.1
